dataset,seeds,n_scenes,lfsf_psnr_mean,lfsf_psnr_std,lfsf_ssim_mean,lfsf_ssim_std,lfsf_rf_psnr_mean,lfsf_rf_psnr_std,lfsf_rf_ssim_mean,lfsf_rf_ssim_std,delta_psnr_mean,delta_psnr_std,delta_ssim_mean,delta_ssim_std
Mobile Depth,3407;3408;3409,11,38.85538360118225,0.028747814132959564,0.979829347783422,0.00011657587795983382,35.93508542133927,0.34377388184547103,0.9755609688370682,0.000906947030420362,-2.9202981798429803,0.353283658097982,-0.004268378946353753,0.0008933558154901982
Middlebury,3407;3408;3409,15,32.80660484644135,0.032033260579487056,0.9545732144158419,0.00015666168079323442,34.60917786337648,0.06535535733248149,0.961611171169661,0.00023692357727162028,1.8025730169351373,0.06355822213477844,0.007037956753819019,0.00013564939426628973
FlyingThings3D,3407;3408;3409,100,34.0619001577154,0.07355136580686314,0.9662857653269494,0.0002601548859734384,35.40217059284103,0.08628834651846287,0.9712090439764829,0.00022558791904303196,1.3402704351256294,0.01583715286726907,0.004923278649533458,8.687912525291959e-05
Road-MF,3407;3408;3409,80,38.288934408365726,0.1006141359212187,0.9924989911410312,7.684783309623214e-05,46.965765382663676,0.09928074950908185,0.9981206068297652,1.0056530633223549e-05,8.67683097429794,0.02935367326363072,0.00562161568873402,8.690261494994223e-05
4D-Light-Field,3407;3408;3409,24,27.00394739499502,0.03048024396366059,0.8527458679787738,0.000740017528491311,28.472924723947525,0.1423615170113163,0.8706084071070265,0.0013922373334068372,1.468977328952506,0.11199581309460331,0.017862539128252457,0.0011786352557507705
Equal-dataset macro,3407;3408;3409,230,34.20335408173995,0.040375553697810665,0.9491866373292037,0.00018325909253732767,36.277024796833594,0.12302049031463778,0.9554220395840008,0.0004913824033346209,2.073670715093646,0.09524790159028489,0.006235402254796944,0.0003253705780716667
