dataset,n,statistical_unit,delta_psnr,ci95_psnr_low,ci95_psnr_high,p_raw_psnr,delta_ssim,ci95_ssim_low,ci95_ssim_high,p_raw_ssim,p_holm_psnr,p_holm_ssim
Mobile Depth,11,scene,0.9171973153643549,0.259087630640138,1.5632563568760693,0.0244140625,0.021679081421846904,0.015792196539425863,0.028809456184048475,0.0009765625,0.0732421875,0.003909996483683467
Middlebury,15,scene,2.5287881891232216,2.0079974742174236,3.0348897739186778,0.0006516660806139112,0.014542024247931688,0.011691814679100387,0.017697493719499996,0.0006516660806139112,0.003909996483683467,0.003909996483683467
FlyingThings3D,100,scene,2.6022442887205233,2.2154493583021355,3.033125092486507,3.896559845095909e-18,0.01896410335554771,0.015651535793386993,0.02272341431072396,3.896559845095909e-18,4.675871814115091e-17,4.675871814115091e-17
Road-MF,80,scene,11.17300785266292,10.655157255750417,11.731955806668507,7.849526548031477e-15,0.01291956694555585,0.011209084590701033,0.01506031785317503,7.849526548031477e-15,7.849526548031477e-14,7.849526548031477e-14
4D-Light-Field,24,scene,1.3794767262711574,0.8594917159971954,1.9435246303192844,3.0159950256347656e-05,0.0792320400400623,0.051942415563055525,0.11315504354806726,1.1920928955078125e-07,0.0002111196517944336,9.5367431640625e-07
Equal-dataset macro,5,dataset mean,3.7201428744284355,3.484956573516319,3.959666644363076,0.0625,0.02946736320218889,0.02368275955799996,0.03650532760033862,0.0625,0.125,0.125
