family,setting,source_setting,effective_frames,Direct_absolute_PSNR,LFSF_RF_absolute_PSNR,absolute_RF_minus_Direct,Direct_retention_from_clean,LFSF_RF_retention_from_clean,retention_RF_minus_Direct,Direct_drop_from_clean,LFSF_RF_drop_from_clean,aggregation
frame cap,cap2,cap_2,2.0,27.66265146631401,27.73585225648008,0.0732007901660694,-8.982485939403581,-8.638314712818065,0.3441712265855159,8.982485939403581,8.638314712818065,equal-dataset macro
frame cap,cap4,cap_4,4.0,31.383451432798715,31.391183902420387,0.007732469621672067,-5.261685972918876,-4.9829830668777575,0.2787029060411186,5.261685972918876,4.9829830668777575,equal-dataset macro
frame cap,cap8,cap_8,8.0,34.03057726263286,33.98256777118989,-0.04800949144296851,-2.6145601430847307,-2.3915991981082527,0.222960944976478,2.6145601430847307,2.3915991981082527,equal-dataset macro
frame cap,cap16,cap_16,13.860909090909093,35.823412190169776,35.651899250921836,-0.17151293924793976,-0.821725215547815,-0.7222677183763082,0.09945749717150676,0.821725215547815,0.7222677183763082,equal-dataset macro
random dropout,dropout25,dropout_25,12.912045454545455,33.97384448459402,33.987025544382554,0.013181059788536231,-2.671292921123573,-2.3871414249155904,0.28415149620798275,2.671292921123573,2.3871414249155904,equal-dataset macro; averaged across dropout seeds 3407/3408/3409
random dropout,dropout50,dropout_50,8.54659090909091,32.2412079841912,32.2692817316468,0.02807374745560054,-4.403929421526392,-4.104885237651345,0.29904418387504705,4.403929421526392,4.104885237651345,equal-dataset macro; averaged across dropout seeds 3407/3408/3409
misalignment,shift1,shift_1px,16.58409090909091,26.302611875866972,26.48792980785736,0.1853179319903866,-10.342525529850619,-9.886237161440786,0.4562883684098331,10.342525529850619,9.886237161440786,equal-dataset macro
misalignment,shift2,shift_2px,16.58409090909091,23.06361861913024,23.233139609532373,0.16952099040213398,-13.581518786587353,-13.141027359765772,0.4404914268215805,13.581518786587353,13.141027359765772,equal-dataset macro
misalignment,shift4,shift_4px,16.58409090909091,20.63576490569107,20.61144749321698,-0.02431741247409036,-16.009372500026522,-15.762719476081166,0.24665302394535615,16.009372500026522,15.762719476081166,equal-dataset macro
