dataset,n,LFSF_PSNR,LFSF_SSIM,LFSF_RF_PSNR,LFSF_RF_SSIM,delta_PSNR,delta_SSIM,status
Mobile Depth,11,38.86038933835443,0.9798866782672818,36.292639299472036,0.9765732946848028,-2.5677500388823944,-0.0033133835824790125,independent
Middlebury,15,32.8141652396382,0.9545618752917177,34.684272229000676,0.9617453943225732,1.8701069893624762,0.007183519030855567,independent
FlyingThings3D,100,34.07465814765395,0.9663274469092197,35.42865098793403,0.9711595117422641,1.3539928402800783,0.004832064833044436,independent
Road-MF,80,38.26414513102077,0.9924700785670332,46.90985287709765,0.9981241719549654,8.64570774607688,0.005654093387932213,independent
4D-Light-Field,24,27.019219178895256,0.8535938865972247,28.555419452986342,0.8712903104297786,1.5362002740910867,0.017696423832553876,independent
Equal-dataset macro,230,34.20651540711252,0.9493679931264956,36.374166969298145,0.955778536626877,2.1676515621856254,0.006410543500381416,independent equal-dataset macro
